S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
56,Srinivasapura PS,0245/2024,26-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,26-07-2024,19:35,BETWEEN ARIKERE AND YALDOOR NEAR JUICE FACTORY SRINIVASAPUR TALUK,RURAL,NH,T/W,CAR,42,,,,,,,,35,,NOT KNOWN,NOT KNOWN,GOOD
57,Srinivasapura PS,0250/2024,28-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,27-07-2024,14:15,NEAR YADARUR GATE SRINIVASAPURA TALUK,RURAL,NH,CAR,CAR,,,,,45,,,,,,YES,YES,GOOD
58,Vemagal PS,0146/2024,02-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-02-2024,14:30,"KAMASANDRA VI, NARASAPURA BORDER",Rural,NH,T/W,LORRY,,,,,,,,,,,YES,YES,Good
59,Vemagal PS,0149/2024,04-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,07-04-2024,17:00,"VEMGAL TO SEETHI ROAD, NEAR KATERAMMA TEMPLE",Rural,SH ,T/W,,38,,,,,,,,25,,YES,YES,Good
60,Vemagal PS,0150/2024,06-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-07-2024,08:30,"NEAR COOL MAN FACTROY, NH 75",Rural,NH,CAR,SELF,,,54,,,,,,,,YES,YES,Good
61,Vemagal PS,0151/2024,07-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,07-07-2024,08:30,MTB BRICKS FACTROY VEMGAL,Rural,SH ,T/W,NOT KNOWN,23,,,,,,,,,,YES,YES,Good
62,Vemagal PS,0152/2024,08-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,07-08-2024,15:00,"NEAR COOL MAN FACTROY, NH 75",Rural,NH,T/W,T/W,29,,,,,,,,,,YES,YES,GOOD
63,Vemagal PS,0155/2024,10-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 122",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-10-2024,19:00,KALIKAMBHA TEMPLE BEECHAGONDANHALLI VI ,Rural,SH,CAR,TRACTOR,,,38,,,,,,,,YES,YES,GOOD
64,Vemagal PS,0159/2024,14-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,122",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14-07-2024,16:30,"BEECHAGONDANAHALLI GATE, HOSAKOTE CHINTHAMANI ROAD",RURAL,SH,T/W,LORRY,,,,,2/24/26.,,,,,,YES,YES,GOOD
65,Vemagal PS,0160/2024,15-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15-07-2024,15:00,"KB HOSAHALLI VI, VEMGAL HOBALI",RURAL,SH,T/W,,,,,38,,,,,25,,YES,YES,GOOD
66,Vemagal PS,0163/2024,17-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,17-07-2024,09:30,"K B HOSAHALLI VI, NEAR MUNESHWARA TEMPLE ",RURAL,SH,,NOT KNOWN,28,,,,,,,,,,NO,NO,GOOD
67,Vemagal PS,0164/2024,18-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,122",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,18-07-2024,18:30,NEAR NARASAPURA LAKE NH 75,Rural,NH,T/W,LORRY,,,23,,, ,,,,,YES,YES,GOOD
68,Vemagal PS,0165/2024,20-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,20-07-2024,07:30,NEAR KURGAL GATE H CROSS KOLAR ROAD,Rural,SH,T/W,LORRY,`,,,,,,,,,,YES,YES,GOOD
69,Vemagal PS,0167/2024,27-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,27-07-2024,13:30,NEAR LAKSHMI SAGAR GATE NH 75,Rural,NH,,T/W,,,35,,,,,,,,YES,YES,GOOD
70,Vemagal PS,0168/2024,29-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-07-2024,20:00,NEAR NARASAPURA BRIDGE NH 75,Rural,NH,CAR,BALERO CAR,,,24,,,,,,,,YES,YES,GOOD
71,Vemagal PS,0170/2024,31-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,31-07-2024,13:30,"IQF FACTROY, VEMGAL KOLAR MAIN ROAD",Rural,SH,T/W,AUTO,,,,,48,,,,,,YES,YES,GOOD
1,Gownapalli PS,0046/2024,02-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,02-08-2024,08:00,Near Katevaripalli cross,RURAL ,SH ,T/W,KSRTC BUS  ,18,,,,,,,,48,,,YES ,GOOD 
2,Gownapalli PS,0050/2024,22-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13-08-2024,13:05,Koosandra village Near,RURAL ,SH ,T/W,CAR ,,,,,1,,,,38,,YES ,YES ,GOOD 
3,Gownapalli PS,0051/2024,28-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,26-08-2024,14:45,In front of Govt school Gownipalli village,RURAL ,SH ,T/W ,LORRY ,,,,,1,,,,45,,YES ,YES ,GOOD 
4,Kolar Rural PS,0311/2024,02-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,02.08.2024,5.40 AM,MUDUVADI  KERE KATTE NEAR,RURAL,SH,T/W,UNKHOWN,,,15 45,,,,,,UNKHOWN,,YES,YES,GOOD
5,Kolar Rural PS,0312/2024,03-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,03-08-2024,02:50,"ROCK VALY SCHOLL OFF B,PET ROAD ",RURAL,SH,CAR,SELF,23/24/22,,,,22,,,,39,,YES,YES,GOOD
6,Kolar Rural PS,0313/2024,03-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-08-2024,09:15,KUTERI -DIMBA ROAD ,RURAL,SH,SCHOOL BUS,SELF,,,,,45/15/13/15,07/11/13/,,,29,,YES,YES,GOOD
7,Kolar Rural PS,0316/2024,04-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,04-08-2024,05:45,ARABHIKOTHNAURU TURN,RURAL,NH,T/W,CAR,,,40,,,,,,38,,YES,YES,GOOD
8,Kolar Rural PS,0319/2024,06-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,05-08-2024,17:00,TOTLY GATE,RURAL,SH,T/W ,T/W,,,31,,,,31,,31,,YES,YES,GOOD
9,Kolar Rural PS,0320/2024,07-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,06-08-2024,19:30,NERNAHALLI GATE,RURAL,NH,T/W ,T/W,,,26,22,33,,,,30,,NO,NO,GOOD
10,Kolar Rural PS,0321/2024,08-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-08-2024,15:30,MEDITHAMBIHALLI GATE,RURAL,NH,CAR,TRACKTER,,,,,65/67/13,,,,40,,YES,YES,GOOD
11,Kolar Rural PS,0323/2024,09-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,09-08-2024,16:30,KONDARAJANAHLLI GATE ,RURAL,NH,KSRTC BUS,PRIVATE BUS,,,,,59,12,,,41,,YES,YES,GOOD
12,Kolar Rural PS,0324/2024,12-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-08-2024,19:40,KONDARAJANAHLLI GATE ,RURAL,NH,T/W,PRIVATE BUS,,,29,,,,,,42,,YES,YES,GOOD
13,Kolar Rural PS,0330/2024,16-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14-08-2024,18:30,NEAR HONNENAHALLI ,RURAL,OTHER,T/W,Unknown,,,,,,,54,,UNKHOWN,,NO,NO,GOOD
14,Kolar Rural PS,0332/2024,16-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16-08-2024,13:30,JOOHALLI GATE ,RURAL,SH,AUTO,CAR,,,59/5,45/28/7/8,,,,,25,,YES,YES,GOOD
15,Kolar Rural PS,0342/2024,24-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-08-204,13:45,KONDARAJANAHLLI GATE ,RURAL,NH,TEMPO,LORRY,,,,,23,,,,30,,YES,YES,GOOD
16,Kolar Rural PS,0345/2024,27-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,26-08-2024,16:20,KENDATTI VILLAGE,RURAL,NH,CAR,SELF,,,,,36/39,32,,,39,,YES,YES,GOOD
17,Kolar Traffic PS,0062/2024,03-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,08-03-2024,08:00,TEKAL BRIDGE.NEAR.KOLAR,URBAN,DR,T/W,CAR,,.,.,.,48,.,.,.,31,.-,YES,YES,GOOD
18,Kolar Traffic PS,0063/2024,10-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-07-2024,19:00,SAGER HOTEL. NEAR..KOLAR,URBAN,DR,T/W,T/W,.,,.,.,.,25,.,.,.,.,YES,YES,GOOD
19,Kolar Traffic PS,0064/2024,12-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-05-2024,15:15,RV SCHOOL NEAR.KOLAR,URBAN,DR,AUTO,CAR,.,.,.,.,.,.,.,.,27,.,YES,YES,GOOD
20,Kolar Traffic PS,0067/2024,17-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,181",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-08-2024,16:45,MALU BRIDGE. NEAR .KOLAR,URBAN,NH75,CAR,CAR,.,.,.,.,.,.,.,.,39,.,YES,YES,GOOD
21,Kolar Traffic PS,0069/2024,31-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,30-08-2024,11:00,SRINIVASA HARD WARE.TEKAL ROAD..KOLAR,URBAN,DR,T/W,TATA ACE ,.,.,.,.,58,.,.,.,.,.,YES,YES,GOOD
22,Malur PS,0209/2024,01-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-07-2024,20:15,Malur Hosur road malur town,RURAL,SH,T/W,lorry,,,54,,,,        ,,35,,WITH DL  ,WITH INSURANCE ,CLOUDY
23,Malur PS,0212/2024,04-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,04-08-2024,16:00,Subash nagara malur town ,Urben,DR,,T/W,,,,,,,34,2,25,,WITH DL  ,WITH INSURANCE ,GOOD
24,Malur PS,0216/2024,07-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,05-08-2024,13:00,Balji circle Malur town ,Urben,DR,CAR,lorry,,,,,,,,,32,,WITH DL  ,WITH INSURANCE ,GOOD
25,Malur PS,0218/2024,12-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,11-08-2024,16:30,Hosur malur road malur town,Urben,SH,TW,LORRY,,,24,,22,,,,36,,WITH DL  ,WITH INSURANCE ,GOOD
26,Malur PS,0221/2024,15-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14-08-2024,20:00,Mylandahalli lak malur masthi road malur taluk,RURAL, VR,T/W,CAR,,,24 22,,,,,,35,,WITH DL  ,WITH INSURANCE ,CLOUDY
27,Malur PS,0222/2024,16-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12-08-2024,21:20,Indiranagara cross Malur town,Urben,DR,,T/W,,,,,29,,32,,28,40,WITH DL  ,WITH INSURANCE ,CLOUDY
28,Malur PS,0225/2024,20-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,19-08-2024,21:00,Bavanahalli busstand,RURAL,VR,,KSRTC BUS  ,,60,,,,,,60,45,,WITH DL  ,WITH INSURANCE ,CLOUDY
29,Malur PS,0226/2024,20-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,19-08-2024,16:20,Marikamba circle malur town,Urben,DR,T/W,LORRY,,10,,,,,,,30,,WITH DL  ,WITH INSURANCE ,GOOD
30,Malur PS,0227/2024,20-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,14-08-2024,23:00,Near Lakkur village malur taluk,RURAL,VR,T/W,T/W,25,,,,,,,,25,,WITH DL  ,WITH INSURANCE ,CLOUDY
31,Malur PS,0232/2024,26-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-08-2024,17:45,Ramenahalli gate in betweeen doddashivara karinayakanahalli malur taluk,RURAL,DR,T/W,T/W,,,,,22,,,,28,,WITH DL  ,WITH INSURANCE ,GOOD
32,Masti PS,0141/2024,01-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-07-2024,14:30,"SORAKAYALAHALLI, MASTHI HOBALI, MALUR TQ ",RURAL,OH,T/W,BULERO,-,-,-,-,25,-,-,-,-,-,-,-,GOOD
33,Masti PS,0143/2024,02-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,26-07-2024,11:35,"K.G HALLI, TEKAL HOBALI, MALUR TQ ",RURAL,SH,T/W,BUS,-,-,-,-,47,-,-,-,-,-,-,-,GOOD
34,Masti PS,0147/2024,10-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,06-08-2024,16:00,"KURNAHOSAHALLI, TEKAL HOBALI, MALUR TQ ",RURAL,OTHER,,TRACTOR ,-,-,-,-,18,-,-,-,-,-,-,-,GOOD
35,Masti PS,0150/2024,23-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-08-2024,07:30,"BEDASHETTAHALLI, MALUR TQ ",RURAL,OTHER,,T/W,-,-,-,-,11,-,-,-,-,-,-,-,GOOD
36,Masti PS,0151/2024,24-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,22-08-2024,12:30,"MaLuR MASTHI ROAD MASTHI VILLAGE, ",RURAL,SH,T/W ,AUTO,,,,,45,,,,,,,,GOOD 
37,Masti PS,0156/2024,27-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,26-08-2024,18:30,THORALAKKI  NEAR ,RURAL,OTHER,T/W,T/W,-,-,-,-,65,-,-,-,-,-,-,-,GOOD
38,Masti PS,0157/2024,27-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-08-2024,17:30, GUNDLAPALYA ,RURAL,OTHER,T/W,T/W,-,-,-,-,29,-,-,-,-,-,-,-,GOOD
39,Mulbagal Rural PS,0188/2024,05-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-03-2024,18-30 HRS,Kumudenahalli near Gas goden KGF Road ,Rural,SH,TW,CAR,,,32,,,,,,32,,Yes,Yes,Good
40,Mulbagal Rural PS,0192/2024,08-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-07-2024,14-30hrs,Vommasandra 5th Maili,Rural,OR,T/W,Tractor,,,65,,,,,,30,,Yes,Yes,Good
41,Mulbagal Rural PS,0193/2024,09-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,08-07-2024,18-20HRS,Kurubarahalli gate,Rural,NH,Tata ace,Car,35,,,,"35, 30",,,,,,Yes,Yes,Good
42,Mulbagal Rural PS,0194/2024,09-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,08-08-2024,22-45 hrs,kappalamadagu near lake,Rural,NH,TW,Unknown,39,,,,,,,,,,Yes,Yes,Good
43,Mulbagal Rural PS,0198/2024,12-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,08-11-2024,15-20HRS,Hanumanahalli gate,Rural,NH,TW,TW,32 (Accused Driver),,,,27,,,,32,,Yes,Yes,Good
44,Mulbagal Rural PS,0206/2024,27-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,26-08-2024,22-50hrs,batlabhavanahalli gate,Rural,OR,TW Self,,23,,,,,,,,,,Yes,Yes,Good
45,Mulbagal Town PS,0120/2024,09-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,09.08.2024,21.30 HRS,"NEAR BALAJI BHAVAN, MULBAGAL TOWN ",URBAN,NH,-,CAR,-,-,-,-,-,-,"25,28",-,-,,-,YES,GOOD
46,Nangli PS,0104/2024,06-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-07-2024.,14:00,"Near Indian Petrol Bunk, NH 75 Road, Mudigere.",RURAL,NH-75 ROAD,T/W,T/W,-,-,-,-,38,-,-,-,30,-,Yes,YES,GOOD
47,Nangli PS,0107/2024,10-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 125(a),281,106(2)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,07-08-2024,16:00,"Mudigere Gate, NH 75 Road, Mulbagal Taluk",RURAL,NH-75 ROAD,T/W,T/W,44,-,-,-,,-,-,-,29,-,Yes,NO,GOOD
48,Nangli PS,0113/2024,19-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(2)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,19-08-2024,16:00,Byrakuru Village Mulbagal Taluk,RURAL,SH,T/W,Lorry,51,-,-,-,-,-,-,-,45,-,Yes,NO,GOOD
49,Nangli PS,0117/2024,24-08-2024,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 125(a),281,106(2)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,23-08-2024,21:00,"Near JSR Toll, NH 75 Road, Mulbagal Taluk",RURAL,NH-75 ROAD,T/W,Unknown Lorry,32,-,-,-,-,-,-,-,-,-,-,-,GOOD
50,Srinivasapura PS,0255/2024,01-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,30-07-2024,17:00,"NEAR MANGO VALLEY SCHOOL, KOLAR ROAD SRINIVASAPURA TALUK",RURAL,SH,T/W,CAR,,-,35,-,,,-,-,,,YES,YES,"GOOD,"
51,Srinivasapura PS,0270/2024,26-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,25.08.2024,15:30,NEAR NARAYANAPURA GATE  SRINIVASAPURA TALUK,RURAL,NH,T/W,TEMPO,,,,,28,,,,,,YES,-,"GOOD,"
52,Srinivasapura PS,0272/2024,30-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,30.08.2024,13:30,NEAR AYYANGAR BAKERY M G ROAD SRINIVASAPURA TOWN,URBAN,SH,,T/W,,,,,70,,35,,,,,YES,"GOOD,"
53,Srinivasapura PS,0273/2024,30-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,30.08.2024,16:30,NAGADENHALLI GATE SRINIVASAPUR TALUK,RURAL,SH,,T/W,,,,,,,40,,35,,YES,,"GOOD,"
54,Srinivasapura PS,0275/2024,31-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,29.08.2024,19:00,NEAR VIP SCHOOL SRINIVASAPURA TALUK,RURAL,SH,T/W,,,,60,,,,,,,,YES,YES,"GOOD,"
55,Vemagal PS,0174/2024,07-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,122",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-07-2024,6.45 pm,Near Raghupathu Hosahalli vemagal hobli kolar taluk,Rural,Village Road,T/W,CAR,-,-,-,-,41,-,-,-,35,-,YES,YES,CLUDY
56,Vemagal PS,0179/2024,10-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,08-09-2024,8.45 PM,Near Medihala Gate Vemagal Hobli Kolar Taluk,Rural,SH,,-,,-,40,-,-,-,-,-,32,,YES,YES,CLUDY
57,Vemagal PS,0181/2024,13-08-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,08-12-2024,2.00AM,Bichagondahalli Toll Near Vemagal Hobli kolar Taluk,Rural,SH,TEMPO TRAVELER,CAR,-,-,-,-,-,-,-,-,28,-,YES,YES,CLUDY
